I1,I2,N1,N2,N3
0.03702,0.03702,0.069837,0.95597,1.0
0.038412,0.038412,0.075019,0.94627,1.0
0.039683,0.039683,0.079594,0.93776,1.0
0.040845,0.040845,0.083683,0.93,1.0
0.041898,0.041898,0.087369,0.92202,1.0
0.042844,0.042844,0.090709,0.91329,1.0
0.04369,0.04369,0.09374,0.90633,1.0
0.044447,0.044447,0.096504,0.90056,1.0
0.045025,0.045025,0.099009,0.8963,1.0
0.045416,0.045416,0.10128,0.8945,1.0
0.045738,0.045738,0.10336,0.89294,1.0
0.04602,0.04602,0.1053,0.89346,1.0
0.046265,0.046265,0.10711,0.89524,1.0
0.046477,0.046477,0.10879,0.90051,1.0
0.046659,0.046659,0.11035,0.91119,1.0
0.046813,0.046813,0.11178,0.9246,1.0
0.046943,0.046943,0.11309,0.9438,1.0
0.047051,0.047051,0.11426,0.96361,1.0
0.047138,0.047138,0.11528,0.97686,1.0
0.047206,0.047206,0.11614,0.98606,1.0
0.047256,0.047256,0.1168,0.9907,1.0
0.047287,0.047287,0.11722,0.99172,1.0
0.047297,0.047297,0.11737,0.9922,1.0
5.9478e-06,5.9478e-06,0.0,0.5,1.0
0.0001007,0.0001007,0.00052166,0.9975,1.0
0.001006,0.001006,0.0028369,0.99765,1.0
0.0049412,0.0049412,0.0090126,0.99786,1.0
0.014168,0.014168,0.021011,0.9978,1.0
0.026395,0.026395,0.039794,0.99469,1.0
0.036123,0.036123,0.061567,0.98513,0.99999
0.041278,0.041278,0.078481,0.96985,0.99999
0.043462,0.043462,0.089872,0.95162,1.0
0.044395,0.044395,0.099258,0.93328,1.0
0.044909,0.044909,0.10707,0.91769,1.0
0.045328,0.045328,0.11369,0.90557,1.0
0.045761,0.045761,0.1194,0.89589,1.0
0.04623,0.04623,0.1244,0.88814,1.0
0.04673,0.04673,0.12883,0.8807,1.0
0.047195,0.047195,0.1328,0.87524,1.0
0.047558,0.047558,0.13636,0.872,1.0
0.047854,0.047854,0.13958,0.86699,1.0
0.048023,0.048023,0.1425,0.8635,1.0
0.04805,0.04805,0.14515,0.86225,1.0
0.04805,0.04805,0.14759,0.86024,0.99999
0.04805,0.04805,0.14985,0.86371,0.99999
0.04805,0.04805,0.15196,0.87012,0.99999
0.04805,0.04805,0.15393,0.88066,0.99999
0.04805,0.04805,0.15576,0.89834,0.99998
0.04805,0.04805,0.15744,0.91515,0.99998
0.04805,0.04805,0.15898,0.93673,0.99997
0.04805,0.04805,0.16037,0.95954,0.99997
0.04805,0.04805,0.1616,0.97399,0.99997
0.04805,0.04805,0.16262,0.98433,0.99996
0.04805,0.04805,0.16342,0.98977,0.99996
0.04805,0.04805,0.16393,0.9908,0.99996
0.04805,0.04805,0.1641,0.99136,0.99996
7.9058e-06,7.9058e-06,0.0,0.5,1.0
0.00013452,0.00013452,0.00064885,0.99467,1.0
0.0013182,0.0013182,0.0035336,0.99506,1.0
0.0062337,0.0062337,0.011238,0.99553,1.0
0.017139,0.017139,0.02612,0.99494,1.0
0.030868,0.030868,0.048972,0.98776,1.0
0.041278,0.041278,0.078481,0.96985,0.99999
0.046134,0.046134,0.10766,0.94585,0.9998
0.047477,0.047478,0.1271,0.92275,0.99975
0.047717,0.047717,0.13867,0.9044,0.99991
0.047721,0.047722,0.14807,0.89178,0.99996
0.047691,0.047691,0.15586,0.88318,0.99997
0.0477,0.0477,0.16244,0.87657,0.99998
0.047768,0.047768,0.1681,0.87102,0.99998
0.047881,0.047881,0.17304,0.8646,0.99998
0.047998,0.047998,0.1774,0.86265,0.99998
0.04805,0.04805,0.18128,0.86227,0.99998
0.04805,0.04805,0.18477,0.85668,0.99997
0.04805,0.04805,0.18793,0.85186,0.99997
0.04805,0.04805,0.19081,0.84734,0.99996
0.04805,0.04805,0.19347,0.84149,0.99994
0.04805,0.04805,0.19593,0.84509,0.99993
0.04805,0.04805,0.19824,0.85366,0.9999
0.04805,0.04805,0.2004,0.8728,0.99988
0.04805,0.04805,0.20242,0.90426,0.99986
0.04805,0.04805,0.20429,0.92688,0.99985
0.04805,0.04805,0.20602,0.94983,0.99985
0.04805,0.04805,0.20758,0.97145,0.99984
0.04805,0.04805,0.20897,0.98279,0.99984
0.04805,0.04805,0.21015,0.98963,0.99984
0.04805,0.04805,0.21106,0.9923,0.99983
0.04805,0.04805,0.21164,0.99325,0.99983
0.04805,0.04805,0.21184,0.9938,0.99983
1.0082e-05,1.0082e-05,0.0,0.5,1.0
0.00017228,0.00017228,0.0007716,0.99106,1.0
0.0016599,0.0016599,0.0042032,0.99165,1.0
0.0075302,0.0075302,0.013348,0.99237,1.0
0.019591,0.019591,0.03081,0.99079,1.0
0.033563,0.033563,0.056996,0.97824,1.0
0.043462,0.043462,0.089872,0.95162,1.0
0.047477,0.047478,0.1271,0.92275,0.99975
0.04805,0.04805,0.16091,0.90334,0.99812
0.04805,0.04805,0.18125,0.89443,0.99768
0.04805,0.04805,0.19213,0.89188,0.99895
0.04805,0.04805,0.20099,0.8914,0.99948
0.04805,0.04805,0.20835,0.89057,0.99976
